,content,label
336,스토리는 참신하네요 치히로가 울때마다 울컥하네요 ㅋㅋ 그리고 마지막에 떠날때 아쉬운 표정으로 꼭 다시 또보자고 말할때 너무 감동적이에요,1
654,이거 보다가 소름이 쫘악 돋았음....모자이크 되었는 데도 너무 무섭고 스토리 엔딩 자체도 너무 무섭다.,1
241,내 인생 최고의 명작입니다,0
216,보 가족 영화라 그냥 보통 일상가정의 이야기로 보고있다가 마지막 부분에 반전을 보고 감정이 식어버린 나에게도 눈물이라는게 생겼다..,1
1407,스릴도 있고 재미있는 영화이다! 보는 내내 많이 웃었다. 하지만 알고보면 많이 슬픈 영화ㅠㅠㅠㅠ,0
978,"인도의 노래와 춤파트가 쫌 길어서 따분해지는감이 있었지만, 전체적으로 재미있고 감동적이였습니다. 교수님의 변화가 특히 감동적인것 같습니다.",1
1222,보는내내 눈한번 떼지 않고 봤습니다.. 실화라 더 감동적이고 정말 멋졌습니다.최고!,0
1337,난 이거 시즌1떄안보다가 어쩌다가 티비에하길래 걍빠져버림 ;; 한명한명 특징이 살아있어서 개인적으로 재밌습니다,0
703,현대인의 고독감을 잘 표현한 느낌있는 영 영화,0
981,정말 훌륭한 메시지를 보여주지만 안타까운 결말이. 잔잔히 울리는 독특한 배경음악도 영화의 분위기를 잘 받쳐 줌. 역시 케빈 스페이시가 나오는 영화는 추천할 만한 듯. 피라미드식 시스템이 정말 훌륭하게 잘 적용된 예.,1
692,중동의 문화에 대해서 새롭게 알게 한 영화,0
1129,매력넘치는 영 영화,0
330,이 영화는 처음과 끝에서 명화로 이 다시 태어났다.,0
1433,일베넘들 ㅍㅂㄱ하는꼴보소 안당해봐서그른가,0
986,이상아짱!^ㅇ^~!!!!!!!!!,0
43,"벌써 몇번째 보는건지,, 볼때마다 느껴지는게 달라서 참 좋다. 처음은 그들의 몸매와 대사에 놀랬고 다음에는 사랑에 빠지는 그들의 표정이 보였고 또 다음에는 이별에 과정이 보였고..,상우의 모습이 보였고.... 오늘은 은수의 모습이 보였다. . . 이영애의 깡이 부럽다.. 마지막 어떤 마음으로 연락했을지 궁금하다..",1
1390,"작년 여름에 봤던 영화인데 아직까지 여운이 남습니다. 암울한 현실을 과거와 현재를 교차하며 보여주는 장면이 인상적이었고, 음울한 분위기를 가진 영화의 무거운 느낌은 극으로 치닫는 마지막을 더 기억에 오래 남게 하였습니다.",1
1130,"지하실에 갖혀서 속고사는건 어쩌면, 우리일지도 몰라.",1
486,마지막에 조슈아가 엄마한테 안겨서 우리가 이겼다고 외치는 장면에서 펑펑 울었다. 아버지의 희생으로 인간이 울 만든 가장 지옥 같은 장소에서도 그 어린아이다운 순수함을 그대로 간직하고 나와 기뻐하는 아이의 그 모습이 너무 아름다워서 울 수밖에 없었다.,1
210,감동적이내요 사 재밋개 봣슴니다 ㅋ 중간에 은근히 사내 남녀차별을 꼬집고잇는것도 특이허내요,1
151,영화를 보고 안치환의 '내 꿈의 방향을 묻는다'라는 노래제목이 생각나더랍니다.,0
1073,기다린다는 가즈코 이모와는 달리 마지막 부분에서 치아키가 기다린다니 뛰어간다는 마코토.. 영화 제목에 딱 맞는 마지막 대사가 아닐까,1
881,마지막에 우디가 포기하지 않고 지금까지 앤디 곁을 지켰는지 다 아는듯이 앤디가 보니한테 얘기해주는게 슬픔ㅠ 앤디도 우디보내기 힘들었겠지ㅜㅍ,1
640,"재밌다. 손오공~~~맹도견들처럼 본능을 억제하고 서역 먼길 견마잡이로 나선 손오공의 뒷모습이 한편으론 조금 쓸쓸해보이기도 하지만... 동행하는 친구들도 있고, 암튼 결론은 유쾌하고 재밌다는 거.",1
941,전태일열사로인해 우리노동자들의삶이 많이 나아졌습니다. 자신보다도 공장여동생을 걱정하는 모습이 좋았습니다. 무엇보다도전태일이라는 사람의 개인사를 알수있어서 좋아요,1
1038,역시 믿고보는 히가시노 게이고의 작품. 플롯전개나 화면구성도 너무나 잘짰다. 예술적이기까지하다. 내내 몰입해서 본 듯.,0
1351,완전신선함에대박반전에스릴에ㅋㅋㅋ다음드라마들도가끔이렇게신선햇으면좋겠네요ㅋㅋ완전팬임,1
636,우리나라 현실의 작 모습을 반영하는 작품,0
1545,"sihoo,your best! Come on!",1
606,재밌게 잘 봤습니다 아이들과 오랜만에 좋은만화영화 봤네요,0
142,배두나씨좋아요,0
497,역시 최고였다.,0
308,마지막에 반전이 있었다면 엽기작이 될수도..,1
496,"하울의 움직이는 성의 ost 제목인 인생의 회전목마가 왜 인생의 회전목마인지 이유를 알게되고난 후 이 영화 볼때마다 소름돋음 .. 그정도로 영화 연출 뿐만아니라 스토리 , ost에도 많은 노력을 쏟은걸 알 수 있음.. (하울의 움직이는 성의 연 ost가 인생의 회전목마인 이유는 //스포// 하울이랑 소피가 처음 만난 이 장면에서 하울이 ""한참 찾았잖아"" 라고 말하는 장면이랑 , 마지막 장면쯤에 소피가 어린 하울에게 이 자신의 이름을 알려주는 장면 , 이 두 장면을 이 잘 생각해보면 왜 인생의 회전목마인지 깨닫게 영 됨 .. 이상 설명충이였습니당 )",1
1192,마지막회 보는거 미루고 미루다가 방금 봤어요. 여운이 찡하게 남습니다...,0
1292,애니로 안보고 영화로만 처음봣는데 나는 진짜재밋게 봣는데 특히마지막전투씬,1
6,"저도 정말 너무 애정하는 드리마 입니다. 둘의 이야기는 정말 그 어떤 멜로 드라마에서 보던 것 보다도 아름다웠고 잊을 수 없었어요. 정말 그 최영장군의 이민호씨, 전 이민호씨가 나온 드라마 중에 최고였다고 생각해요.",0
962,마지막 그 한마디의 북받침이란...,1
1325,최고 재밌었던 드라마 무거운 분위기도 조승우배우의 알짜배기 연기로 유쾌해지기도 하고 스토리도 좋고 모든 화가 다 소중한 드라마,0
323,잔잔한 배경 음악을 틀고 휴식할 때처럼 늦은 밤 켜놓고 싶은 영화,0
1533,언제봐도 행복한영화..,0
862,"널봐, 아름다운 괴물을",1
1120,너무너무 여운이 남는 영화네요. 화면에 이제훈이 등장할때마다 몰입감이 엄청납니다. 작은 오해들이 모여서 갈등이 되고 사랑받지 못한 아이는 물리적 폭력을 행사하고 그게 또다른 갈등을 만들어냅니다. 미숙한 소통방식은 결국 최악의 결말을 만들어내네요. 청소년기에 아이들이 한번씩은 겪어봤을만한 미묘한 감정들이 너무나 잘 표현되어있어요. 가해자나 피해자를 명확히 구분짓지 못하는 너무 안타까운 내용이였어요.,1
397,연기였지만 그래도 마지막에 주인공이 총에 안 맞았으면 더 좋은 결말이 됐을 안 듯,1
1444,완전짱이에여999999999999999999999999999999999999999999999999999999점이에요.ㅋㅋ,0
1465,액션영화면서도 귀수와 아군의 첫사랑의 설레임이 그대로 느껴지는 이쁜영화네요,0
832,"행복은 주는만큼돌아온다. 아멜리에가 장님분도울땐 정말많은것을배운..우리가 가슴속에 지니고있어야하는 배려와 기적, 당연한메시지를 독특한 모습으로 담은 어른동화같은 환상적 영화. 순간의 사랑보다 확신이드리운 사랑은 더욱 가슴벅차게 다가오는듯",1
1239,근데 대령이 마리아 선생좋아한다는 사실에 놀랐어요!,1
295,최고의 액션. 스토리나 연출은 좀 아쉬움.,0
1244,다시봐도 재밋는 드라마이다~!!!박유천과 한지민의 캐미가 돋보이는~!!!,0
950,많이.. .. 안타깝다,0
686,정말 멋진 영화,0
173,이 영화가 바로 기적이다.,0
708,이연걸이 말을타고 한 액션은 잊지못할 것이다...,1
399,너무나도 섬세한 영화. 이런 명작을 집에서 봐야하는게 한일뿐이다. 마지막에 I 배 got a lost you는 볼트 배우와 페니 배우가 불러서 감동이 배가 되었다. 안타까운건 이런영화는 개봉하면 가치를 모르고 시간이 지나야 가치가 알려지는게 슬프다....,1
1514,누나가 죽었다는 사실을 알고 난후로 눈물이 끊이질 않음.. 뭐만하면 계속 울고 슬펐어요.. 진짜 눈물 한바가지 흘리고옴,1
885,레옹의 죽음으로 완성되는 감동과Shape Of My Heart로 긴 여운까지,1
236,너무재미있네요 여얼자,0
1135,최고 감동 우정 낭만 대박!! (^_*) 꽃보다 청춘~♥♥♥이게 청 바로 여행의 묘미~ 진정한 청춘 ㅎㅎ 내년에도 이 맴버로 계속 쭈욱 꽃청춘 시리즈 이어졌으면...♥♥,0
1286,아버지는 게임 중독에 빠져 코스프레를 하고 형들은 5인조 락밴드,1
1035,왜이렇게 시릴까요 해피앤딩이었음 더좋았을꺼같아요,1
1319,뭐야 평점들이 왜그러지.. 나름 반전도 있고 괜찮았는데.. 근데 확실히 코미디는 다른영화에 비해 부족한편ㅋ... 1점 주면서 알바니 뭐니 까지 할 정도는 아닌듯,1
1198,강철중이 이성재 총쏘는씬 오글?,1
920,"트릴로지 중 그나마 현실성 있는 세계관을 갖고 있는 1편. 2,3편에서 드러나지 않는 맥스의 개인적인 고뇌와 상처를 발견할 수 있다. 1편의 고뇌 덕분에 2,3편의 '맥스'라는 영웅에 대한 이해가 가능하지 않나. '영웅' 물 마니아라면",1
704,마지막에 아버지와 어릴때로 돌아가는 장면에서 정말 펑펑 울었습니다 인생영화네요,1
901,소재도 좋고 스릴도 있고 적당히 긴장감도 돌고... 이정도면 잘 만든 영화입니다. 저는 아주 잘봤습니다. 링컨과 케네디의 일치점은 사실입니다. 평행이론이라는 책은 영화에서만 존재하는 것이었네요. 저는 읽어볼려고 찾아봤네요,1
802,야마켄,0
1073,참신한 소재. 퀘벡 영화.,0
1530,정말 옛날 생각나서 혼났다는... 옛 ^-^,0
876,옛날엔 몰랐는데 이제 보니까 제 퀀투스가 제일 쓰레기네...막시무스 배신했다가 황제 배신했다가...박쥐같은 넘,1
440,아름다운 곡들,0
771,썩 영 괜찮았던 영화,0
344,제임스 윌비에 꽂혀서 보게 된 영화인데 진짜 남주 마지막에 왜 숨은건지... 오래된 영화지만 그만큼 꾸밈없이 감성폭발할 수 있는 영화입니다 꼭 한번 보세요!,1
1368,정말 슬프다ㅠㅠ 우리집 강아지한테 잘해야겠어 ㅠㅜ,0
822,아... 이 드라마가 지금 나왔다면...아쉽다...진정,0
1550,"배종옥 김갑수 주연의 '세상에서 가장 아름다운 이별'이란 영화도 심금을 울립니다. 우리 아버지 모습같고 어머니 얘기같고 저와 제 여동생 모습같아서 너무나 잘 봤던 영화입니다. 몇달이 지났는데 ""아들~""하고 부르던 엄마의 음성이 잊혀지질 않네요.",0
102,"마지막 무지개다리를 건너,이든과 만낫을때 폭풍오열..우리아이와도 그렇게 만나게되겟죠",1
422,닐의 죽음이 너무나 안타까웠다. 내 삶을 돌아보고 앞으로의 나를 다잡게 해준 영화. Carpe diem,1
861,"널봐, 아름다운 괴물을",1
1477,외계인 나왔다고 망작이라는 인간들은 모가지를 비틀어야됨영화를 영화로 보는게 아니라 자기가 보기싫은게 나오면 그냥 망작이라고 평가해버리는 쓰레기들이거든,1
1301,"본인이 정신병동에서의 삶을 선택했다고 자신있게 말하는 환자들을 보고 맥머피가 기가막힌듯이 웃는 장면이 아직도 머릿속에 맴돈다. 우리는 이 세상의 관습과 제도들, 더 나아가서는 도덕과 이념들에 대해 정말로 '질문'조차 던지지 않고 살아간다. 이것이 옳은 일인가에 대해 생각하지 않고 당연히! 해야한다고 믿고 사는 일들이 대부분이다. 자살? 하지 말아야하는 것. 결혼? 해야하는 것. 돈? 당연히 많을수록 좋은 것. 자본주의? 당연히 옳은 것. 기타등등. 무엇이 우리를 옭매고 무엇이 우리를 갈취하고 무엇이 우리를 그 정신병동에서 침흘리는 환자들처럼 만들고 있는가? 질문을 던져본적은 있는가? 궁금해는 했는가? 맥머피처럼 살고싶다. 다른이들을 자유롭게 하는 대신, 본인은 차디찬 침대에서 쓸쓸히 죽어갈지라도 말이다.",1
1011,솔직히 기대안하고 봤는데 몰입감은 상당합니다.뭔가 미국국뽕 심취적인면은 있으나 밀덕들이 좋아할만한 무기들이 나오고 잠수함관련 영화라는게 흥미롭네요. 예전 2차세계대전 U보트같은 구식 잠수함이 아닌 최근 핵잠수함이라는게 좀 신선하다랄까....암튼 한가지 아쉬운점은 대함미사일 요격을 전함발칸포로 요격한다는건 좀 너무 나가지 않았나 합니다. ㅋㅋ 그 비싼 대함 미사일이 고작 발칸포로 격추시킨다고? 그저 웃음만,1
104,재밋네요 달팽이가 빨라서 더 재밌었어요,0
577,전달하려는 교훈은 좋으나.. 자신의 딸 성별이 바뀐것은 그렇게 신경쓰면서 자신이 과거를 바꾸므로서 변경될 다른사람의 인생은 전혀 신경쓰지 않은 모습이 너무 거슬린다... 특히 시간을 돌려서 실수들을 무마하지 않았다면 여자의 인생이 달라졌을거라고 생각하니 더욱더 소름돋는 면이 있는 영화,1
206,김정태 진짜 웃기다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1513,짱재미잇어요!머돋우덛ㅂㄱㅇ돈ㅍ,0
1276,10년전 생각이 나서 그립기도 하네요 dvd로 소장중이니 다시 1편부터 봐야겠네요,0
1170,이 영화는 로맨스 영화가 아니라 가족애와 인생의 의미에 더 비중을 둔 영화다. 특히 아버지와 작별하는 씬은 가장 눈물을 자아내게 하는 장면이다.,1
525,용가리 하혈하고 죽는 것 보고 보 지릴뻔,1
986,OST가 너무 기억에 남는 영화이며 다케노우치 유타카의 마지막 미소가 너무도 멋진 영화이다.... 저런 미소로 누군가를 기다려 줄 수 있다는 것이 아름다운 해피엔딩이었다....,1
1314,와나 거의 3시간 동안 시간가는 줄 모르고 봤는데 갑툭튀 결말이라서 동 황당했지만 진짜 재밌게 봄,1
608,재밌게 잘 봤습니다 아이들과 오랜만에 좋은만화영화 봤네요,0
1473,반전이 더 있을것만 같았지만.. 결국은...^^;,1
1316,와나 거의 3시간 동안 시간가는 줄 모르고 봤는데 갑툭튀 결말이라서 황당했지만 진짜 재밌게 봄,1
1411,평점이 아무도 없네요 10점 주고갑니다.,0
366,귀염둥이 자식들~여전히 귀여웠다.,0
1021,가족은 우리의 파랑새이고 파랑새는 케 희망을 뜻 하고 프롯은 케 그 희망을 정신병동에서 정신 병자에게 보여준다. 관계의 중요성과 희망을 잃지말라는 교훈을 감독은 우리에게 영화를 통해 보여준다. 프롯은 가족과 희망이 없다면 케이 팩스로 데리고 간다.,1
1032,"간만에 눈 재미잇게 본 다큐네요, 엄마가 남긴 쪽지에선 눈물 ㅠㅠ",1
910,인생은 혼자살수없는것이다,1
1227,아~~ 또 보고싶다. 모두 연기를 정말 잘해. ㅠㅠ,0
1521,이런 드라마 또 언제 나올까.... 무조건 만점,0
801,야마켄,0
930,영화끝날때쯤 이 모든게 그냥 정신질환자의 상상인줄 알았는데 그게아니었고 이 트루였다니.. 재밌다,1
849,"무슨 말이 필요할까, 한국전쟁 초반의 전반적인 분위기를 담아낸 작품이고 민족의 분단을 형제간의 슬픈 스토리로 표현하여 마지막 노인의 절규로 표현한건 시대의 아픔을 너무나도 잘 표현한것 아닌가?",1
1186,재밌기만 하구만 왜들 난리일까,0
1531,"앤디와 우디의 헤어짐을 이보다 공감가게, 울컥하게, 감동적이게 표현할수없다 토이스토리는 전편 걸작",1
1549,"배종옥 김갑수 주연의 '세상에서 가장 아름다운 이별'이란 영화도 심금을 울립니다. 우리 아버지 모습같고 어머니 얘기같고 저와 제 여동생 모습같아서 가 너무나 잘 봤던 영화입니다. 몇달이 제 지났는데 ""아들~""하고 부르던 엄마의 음성이 잊혀지질 제 않네요.",0
70,마지막 성당최후의결전에 날아오르는 비둘기는 잊혀지지 않는다.,1
728,오스트레일리아였구나..ㅋㅋ조금은..프랑스?>??식같은코미디영화,0
251,...잔잔해서 더욱 슬픈,0
542,"베니니영화에 따라다니는 니콜레타의 매력을 제대로 볼수있는영화,",0
1220,좋은데요.,0
304,21세기 최고의걸작 안보고도 알수있음 ㅡㅁㅡ;;/,0
1274,가르시아를 알게 해준 영화..마지막 장면도 인상적이였다..결국 친구 하나때문에 멀쩡한 인생이 바뀔 수도 있다는 것..,1
433,놀란을 알기 위해 본 위 영화,0
1028,다영언니 불쌍해.. 언니 언니가 죽는날... 언니 엄마를 만날수 있을거예요..,1
299,안성기 목소리 왜케 조음ㅜㅜ♥,0
1199,"뮤지컬 역대 1위가 괜히 된게 아니었군요. 이건 정말이지 대부,바람과함께 사라지다 레벨의 영화입니다. 3명의 주인공은 마치 뮤지컬계의 마잭,마돈나,엘비스급의 춤과 노래실력을 보여줌.",0
1424,영화 한편 하나 굉장히 제미있네,0
546,스탠리의 밝고 긍정적인 마음이 너무나도 일깨워주는게 많은 사랑스러운 이야기 이 입니다. 영화에 나오는 인도 도시락 요리도 볼만하구요~최고예요,0
680,별로 점수를 매길 수 없는 몇 안 되는 영화.,0
242,보다가 이해못한장면이 끝나고 이해가 되면서 소름이 돋음 특히 처음에 손예진이 이기우의 버릇인 입으로 바람을불어 머리카락이 휘날리게하는게 처음부터 누구딸인지 알려주는것같아서 소름,1
651,"미친짓,비극이다. 하지만 이것이 전쟁의 실체이고, 역사이다",1
838,결말은 어느정도 예상이 갔지만 정말 감동ㅠㅠㅠㅠ,1
650,영화보는내내 나를 보는 것 같아 소름끼쳤다 ..ㄷㄷ 미셸 공드리 식으로 '남자'에 대해 완전히 파헤친 영화!!강력 추천함 ㅎㅎㅎ 꼭 보시길(특히 짝사랑한 상대한테거절당한 남성에게 추천함),0
46,다른 어떤 미드보다 이 작품의 재방송이 시급합니다.,0
200,재밌나요? 더빙을 보는데 ㅠ자막이더좋긴한데,0
167,"두 형제가 겪는 일상에서의 고독과 좌절감을 그린 작품.. 정지된 카메라로 두 남자의 일상을 훔쳐보는 듯한 느낌을 주는데, 주로 롱샷으로 된 화면과 롱테이크기법으로 현대인이 겪는 고독과 소외감을 제대로 살리고 있다. 라스트씬의 롱테이크는 특히 압권..",1
1062,영화음악이 너무 좋았던것 같습니다.,0
523,비키 베드씬이 너무 화끈해서 잠자면 꿈에서 계속.... 대박^^,1
1352,완전신선함에대박반전에스릴에ㅋㅋㅋ다음드라마들도가끔이렇게신선햇으면좋겠네요ㅋㅋ완전팬임,1
1372,처음부터 끝까지 예측할 수 없는 스토리. 굿굿!,0
504,보 퍼시픽 림 보고 찾아왔습니다^^,0
811,스타빛나는사랑! 지금 극장서 보는중! 한국최대의역작 클레멘타인을 뛰어넘는 완성도가 뛰어난 영화! 환희의 연기가 빛나는 영화임! 강력추천합니다!^^회장님:명대사! 그럼나랑 주말에 골프치러 사이판 가는거야?,1
1482,중학교 고등학교시절 세나와 프로스트 만쎌이 F1레이스를 다투던 기사를 보던게 중 생생하다.. 특히 멕라렌팀의 흰색과 빨강의 말보로 마킹이된 세나의 머신은 당시 최고로 빠르고 아름다운 아이콘으로 모터스포츠를 좋아하는 사람들의 동경대상이었다.. 아름다운사람,1
1075,한 5번 본것 같은데 볼때마다 자 재미있고 안타깝고 또 보고싶다 그는 자기 목숨을 버리고 지켰다 자기여자와 그들만의 의리를 결국엔 부질없었지만,1
1225,제가본 한국영화중에 최고였어요‥ 김민희를알수록 의심되는 정체. 완벽한연기. 완벽한몰입과스릴. 작은반전. 무엇보다 현실성이있는‥ 인간의 한계와 그걸 벗어나려는 욕심을보여준‥ 내보기엔 완벽한 시나리오.,1
19,볼만했어요~ㅋㅋ뭐랄까? 스토리가 예측이되는..???,1
190,최양일 감독의 최고작은 아니지만 상당한 내공을 보여주는 작품. 어둡고 차갑다,0
527,용가리 하혈하고 죽는 것 보고 지릴뻔,1
21,"밑에 야이 OOOO 너는 영화보지마라, 현실과 영화도 구분 못하는 새끼가 무슨 영화를",0
413,따른건 기억안나도 마지막 엔딩씬만 기억난다초등학생이였는데 그 장면만 멍하게 보던,1
748,알파치노 연기때문에,0
1283,분노가 치밀어 오른다...엿,0
1054,추억의 영화...ㅋㅋ,0
996,평점 왜 이렇게 낮아요??? 영화 대박인데...진짜....ㅋㅋㅋ 와.. 어떻게 이런상상을 해서 이런 영화를... 대박대박.. ㅠ 생각지못한 반전.. 처음엔 반신반의하면서 봤는데.. 최고내요...ㄷㄷㄷ 근데 금발 여주는 중반에 좀 짜증나긴했음ㅋ,1
857,"지금보면 좀 오그라드는 장면이 많긴한데, 옛날 당시에 봤을때는 꽤 잼나게 봤던 기억이 난다. 마지막이 너무 슬프다.",1
96,"누가 일용직으로도 먹고 살기 힘든 신용불량자 아버지, 고독하게 살다 죽음마저 쓸쓸한 어머니들, 그들을 이용해 홍보관으로 돈을 버는 악당아닌 악당을 만들었나... 부모란 존재의 책임감과 설움이 김인권님의 마지막 표정연기에 무너져내릴듯 먹먹하더라고요.",1
74,마지막 엔딩 연주 20분정도가 일분정도로 느껴지네요. 흐르는눈물을 주체할수 없었다,1
125,나라도 평점 좀 올려야겠다 이건 정말 수작이다,0
762,"주인공에게 그가 그토록 갈구하던 다음날이 오는 동시에, 더 나은 내일을 바라면서도 아무것도 하지 않은 오늘, 지금의 깨어남을 가능케 해준다. 오늘은 여지없이 지나가고 내일은 언제나 오겠지만 지금 숨쉬고 있는 '나'라는 존재만이 제자리이며 영원하다.",1
752,"갠적으로 08,09년 2년간 다크나이트 트랜스포머2 아바타 ..최고의 2년이었다고 본다. 그때 정점 찍고 약간 내려오는중. 하나는 히어로물계의 원탑 하나는 메카닉계의 원탑,또하나는 흥행계의 원탑. 숲속 3대1액션과 후반부 합체장면만으로도..",1
857,커플들이 많이 볼 듯한 영화,0
1185,재밌기만 하구만 왜들 난리일까,0
266,마지막 감동적이어서 울뻔 ㅎ,1
535,악인3인이 긴장감 재미 조성 다해놓고 마지막 마동석과의 액션이 그 긴장감 다 버려놓는 안타까운 그 영화.. 후반부 좀만 더 신경써서 만들지.. 끝에가서 오버액션으로 맞기만 하는 액션으로 그 너무 재미없어짐..,1
1456,와 지루할 틈이 없고 소름 영 돋는 장면이 5군데가 넘는 영화 ㅜㅜ 때 우리 엄마가 창피해하던 나를 가족으로 받아줬다고요 할 때 눈물 나오고 바넘이 필립한테 모자 넘겨주고 필립이 뛰어갈때도 울컥함 ㅠㅠ 이런 걸 띵작이라고 하죠... 어떻게 이영화가 140만인건데 하...ㅠㅠㅠㅠ,1
1377,너무너무 마음이 아프다..애국가를 불러도 무섭다고하는 윤수가ㅠㅠㅠ너무 좋은 감동적인 영화를 봐서 행복하고 감독님과 배우분들 작가분들 수고많으셨어요,1
467,40년전 영화인데 지금 봐도 개 쩌네 특히나 후반부 액션씬 쩐다 야외에서 소룡이 성님 사자후 시전하면서 영화 배경사운드도 절정이고 굿굿,1
253,마지막 북한군의 오열로 10점준다,1
224,누구나 다 겪는일이지만 영화로 생생하게 느껴진다 어떤 이유로 헤어지든 진심으로 사랑했으니 헤어짐은 아픈법 일생생활자체가 안될만큼 먹먹하게. 결과적으로다시 안만난 결말에 정말 나와 같은 생각을 갖고있다고 느껴져서 좋았다 헤어지기 전에 대화로 풀고 서로의 단점을 인정할수있고 안고 갈수있다면 헤어짐은 쉽지 않을거라고 봅니다.극중에서누가 강자냐 약자기 보단 서로의 상황을 인정하고좀더 성장해서 더 좋은 사람과 더 좋은 사랑을 했으면 .. 라는생각을 다시한다 정말 명작입니다 지금이라도 볼수있어서 감사합니다,1
649,영화보는내내 나를 보는 것 같아 소름끼쳤다 ..ㄷㄷ 미셸 공드리 식으로 '남자'에 대해 완전히 파헤친 영화!!강력 추천함 ㅎㅎㅎ 꼭 보시길(특히 짝사랑한 상대한테거절당한 남성에게 추천함),0
688,젊은이들의 한탕주의를 통렬히 비판하는 수작,0
1077,방금 ebs에서 이 영화가 끝났다. 전장의 다리위에서 라이언 일병에게 값진 인생을 살라는 존 H 밀러 대위가 남긴 마지막 대사가 가슴을 울린다.,1
518,평점 올려야 겠다.. 볼만하구만..,0
1018,레이스는 포드가 이겼을지 모르지만 차에 대한 정신은 페라리가 이겼다. 보고나면 포드한테 빡치게 되는 영화,1
825,이제 통일은 물 건너 간걸까..간 간 큰 가족들이 이룬 간 큰 통일?!ㅋㅋ,1
363,88년인중학생때 고교관람가 인데도 보고싶어 봤더 기억이 지금봐도 그리 촌스럽지 않고 엄청난 몰입감과 액션을 가장한 휴먼드라마란 멋진 스토리까지 전율이 일던 내인생에 몇안되는 큰임팩트를 줬던 영화였다. 인간을 상실한 사이보그가 다시 인간이 되는 감동,1
254,마지막 북한군의 오열로 10점준다,1
1291,애니로 안보고 영화로만 처음봣는데 나는 진짜재밋게 봣는데 특히마지막전투씬,1
328,"스토리는 별로였지만, 대역분도 무술 나름 괜찮았습니다. 그리고 무엇보다 진짜 이소룡이 탑에서 차로 무술고수들을 이기는 장면은 정말 멋있었고 오랫동안 기억남는 부분입니다.",1
767,마지막 꿈 장면에서 박중훈씨 웃을때 제 마음까지 따뜻해졌어요^^,1
771,취향에따라 호불호가 많이 갈리는데 영화 영 자체는 괜찮다. 재밌게 잘 만들었음.특히 백투더퓨쳐 박사가 3편에서 서부시대에 갔던 내용을 연결시켜 보여주니 반갑고 좋았다. 아만다사이프리드가 별 역할없는 멍청한여자로 나온건 좀 아쉽지만^^,1
818,담백하면서 현실적이고 가슴떨리는..그냥 최고ㅜㅜ,0
148,"CG는 95년도영화라 좀 허접하지만 매우괜찮음, CG 터미네이터1수준",0
1064,영화음악이 너무 좋았던것 같습니다.,0
463,대박 저하고는 코드가 너무 잘 맞네요 마니 야하지도않고 당시 사회상을 잘 반영하고 짜임새있는 스토리와적절한 러브모드 여주가 너무 매력적이어요 얼굴만이쁘다고 여주하나요 뭐! 10점 만점 에십점드립니다!!꼭 보시길,0
658,여유로운 일요일 오후 나른하게 동화속 세계로 빠져들게하는 포근하고 따뜻한영화,0
